id,title,subtitle,company,location,sublocation,hourly_rate_neto,hourly_rate_bruto,payment_type,normalized_payment_type,normalized_city,normalized_region,description,open_positions,duration,work_schedule,start_date,first_seen,last_seen
481487,KLICNI CENTER,PRODAJA,"TELEKOM SLOVENIJE, D.D.","CELJE, JAMOVA ULICA 15",,7.74,9.0,7.74 €/h neto (9.00 €/h bruto),HOURLY,CELJE,SAVINJSKA,"Za delo v prodajnem klicnem centru iščejo osebi, ki imata radi dinamično delo in jima delo z ljudmi predstavlja izziv. Si oseba, ki z veseljem stranki ponudi optimalno rešitev? Pridobi izkušnje in dobro referenco na področju prodaje in dela s strankami. Zahtevane veščine so fleksibilnost, komunikativnost in veselje do dela s strankami. Urnik po dogovoru. Prijave zbirajo na spletni strani podjetja.",2,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,,2026-05-25T20:13:50.135668+00:00,2026-06-11T21:04:39.800271+00:00
481489,KLICNI CENTER,PRODAJA,"TELEKOM SLOVENIJE, D.D.","LJUBLJANA, VOJKOVA 78",,7.74,9.0,7.74 €/h neto (9.00 €/h bruto),HOURLY,LJUBLJANA,OSREDNJESLOVENSKA,"Za delo v prodajnem klicnem centru iščejo osebi, ki imata radi dinamično delo in jima delo z ljudmi predstavlja izziv. Si oseba, ki z veseljem stranki ponudi optimalno rešitev? Pridobi izkušnje in dobro referenco na področju prodaje in dela s strankami. Zahtevane veščine so fleksibilnost, komunikativnost in veselje do dela s strankami. Urnik po dogovoru. Prijave zbirajo na spletni strani podjetja.",2,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,,2026-05-25T20:13:50.135668+00:00,2026-06-11T21:04:39.800271+00:00
481490,KLICNI CENTER,PRODAJA,"TELEKOM SLOVENIJE, D.D.","MARIBOR, TITOVA CESTA 38",,7.74,9.0,7.74 €/h neto (9.00 €/h bruto),HOURLY,MARIBOR,PODRAVSKA,"Za delo v prodajnem klicnem centru iščejo osebi, ki imata radi dinamično delo in jima delo z ljudmi predstavlja izziv. Si oseba, ki z veseljem stranki ponudi optimalno rešitev? Pridobi izkušnje in dobro referenco na področju prodaje in dela s strankami. Zahtevane veščine so fleksibilnost, komunikativnost in veselje do dela s strankami. Urnik po dogovoru. Prijave zbirajo na spletni strani podjetja.",2,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,,2026-05-25T20:13:50.135668+00:00,2026-06-11T21:04:39.800271+00:00
481491,DELO V RENT A CAR AGENCIJI,LAŽJA FIZIČNA DELA IN DELO NA TERENU,ABMOBIL D.O.O.,"LJUBLJANA, KOTNIKOVA ULICA 35",,8.0,9.3,8.00 €/h neto (9.30 €/h bruto),HOURLY,LJUBLJANA,OSREDNJESLOVENSKA,"Iščejo odgovorne in zanesljive osebe za pomoč v Rent a car poslovalnici. Delo zajema pregled in pripravo vozil za izdajo strankam, pranje vozil v pralnici, točenje goriva, primopredajo vozil strankam ter transport vozil med poslovalnicami. Delo poteka dvoizmensko, po potrebi in dogovoru, urnik se določa 7 dni vnaprej. Kasneje, ob samostojnem delu, se urna postavka zviša. Pogoji: vozniški izpit B kategorije (vsaj 2 leti) ter znanje slovenskega in angleškega jezika.",3,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,,2026-05-25T20:13:50.135668+00:00,2026-06-15T21:34:48.266634+00:00
481492,DELO V RENT A CAR AGENCIJI,LAŽJA FIZIČNA DELA IN DELO NA TERENU,ABMOBIL D.O.O.,"BRNIK, LETALIŠČE",,8.0,9.3,8.00 €/h neto (9.30 €/h bruto),HOURLY,,,"Iščejo odgovorne in zanesljive osebe za pomoč v Rent a car poslovalnici. Delo zajema pregled in pripravo vozil za izdajo strankam, pranje vozil v pralnici, točenje goriva, primopredajo vozil strankam ter transport vozil med poslovalnicami. Delo poteka dvoizmensko, po potrebi in dogovoru, urnik se določa 7 dni vnaprej. Kasneje, ob samostojnem delu, se urna postavka zviša. Pogoji: vozniški izpit B kategorije (vsaj 2 leti) ter znanje slovenskega in angleškega jezika.",3,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,,2026-05-25T20:13:50.135668+00:00,2026-06-15T21:34:48.266634+00:00
481493,STREŽBA HRANE IN PIJAČE,,JAVNI ZAVOD ZA NARAVO IN DRUŽBO ANKARAN - ENTE PUBBLICO PER LA NATURA E LA SOCIETA` ANCARANO,ANKARAN,LOKAL VALDOLTRA,8.5,9.88,8.50 €/h neto (9.88 €/h bruto),HOURLY,ANKARAN/ANCARANO,OBALNO-KRAŠKA,"Iščejo več oseb za strežbo. Delo poteka v lokalu na plaži v mirnem ambientu, streže se hrana in pijača, zaželene so izkušnje, polnoletnost ter znanje italijanskega in angleškega jezika, ni pa pogoj.",5,POČITNIŠKO DELO,IZMENSKO,,2026-05-25T20:13:50.135668+00:00,2026-06-16T21:33:02.978718+00:00
481494,DELO V KUHINJI,POMIVALEC,GOSTINSTVO ANČKA D.O.O.,"ŠENČUR, DELAVSKA CESTA 18",,8.0,9.3,8.00 €/h neto (9.30 €/h bruto),HOURLY,ŠENČUR,GORENJSKA,"Gostilna išče osebo za delo v pomivalnici. Delavnik je izmenski, po potrebi in dogovoru.",,POČITNIŠKO DELO,IZMENSKO,,2026-05-25T20:13:50.135668+00:00,2026-06-08T21:02:43.826750+00:00
481496,POMOČ V KUHINJI,,5RA GOSTINSTVO D.O.O.,"GORENJA VAS, POLJANSKA CESTA 104",,8.7,10.11,8.70 €/h neto (10.11 €/h bruto),HOURLY,GORENJA VAS,ZASAVSKA,Podjetje išče dijake/študente (m/ž) za pomoč v kuhinji. Izkušnje niso zahtevane.,3,DLJE ČASA (ZAČ. IN OBČ. DELO),IZMENSKO,,2026-05-25T20:13:50.135668+00:00,2026-06-28T19:55:59.452248+00:00
481497,INVENTURA,,PEPCO D.O.O.,"ŠEMPETER PRI GORICI, ŽNIDARČIČEVA ULICA 21C",,7.8,9.06,7.80 €/h neto (9.06 €/h bruto),HOURLY,ŠEMPETER PRI GORICI,GORIŠKA,"V trgovini z oblačili in izdelki za dom bi potrebovali več natančnih študentov/k za štetje in skeniranje artiklov. Inventura bo potekala v torek, 16. 6. 2026, od 7. do 15. ure. Pogoj je polnoletnost.",10,16. 6. 2026,DOPOLDAN,2026-06-16,2026-05-25T20:13:50.135668+00:00,2026-05-31T19:50:54.973926+00:00
481498,POMOČ V STREŽBI,DELO V KAVARNI,"GOSTINSTVO, MIHA ČEH, UNICAFFE S.P.","OREHOVLJE, OREHOVLJE 2",KAVARNA NOSTALGIJA,9.0,10.46,9.00 €/h neto (10.46 €/h bruto),HOURLY,OREHOVLJE,GORIŠKA,Iščejo nasmejani in prijazni osebo za delo v strežbi in za pomoč v strežbi. Zaželene so izkušnje z delom v strežbi.,2,PO DOGOVORU,IZMENSKO,,2026-05-25T20:13:50.135668+00:00,2026-07-02T20:04:54.254984+00:00
