naselje,obcina,regija
PETIŠOVCI/PETESHAZA,LENDAVA/LENDVA,POMURSKA
PETKOVEC,LOGATEC,OSREDNJESLOVENSKA
PETRINA,KOSTEL,JUGOVZHODNA SLOVENIJA
PETRINCI,SODRAŽICA,JUGOVZHODNA SLOVENIJA
PETRINJE,HRPELJE - KOZINA,OBALNO-KRAŠKA
PETROVA VAS,ČRNOMELJ,JUGOVZHODNA SLOVENIJA
PETROVO BRDO,TOLMIN,GORIŠKA
PETROVČE,ŽALEC,SAVINJSKA
PETRUŠNJA VAS,IVANČNA GORICA,OSREDNJESLOVENSKA
PEVNO,ŠKOFJA LOKA,GORENJSKA
PEČ,GROSUPLJE,OSREDNJESLOVENSKA
PEČAROVCI,PUCONCI,POMURSKA
PEČE,MORAVČE,OSREDNJESLOVENSKA
PEČICA,ŠMARJE PRI JELŠAH,SAVINJSKA
PEČICE,BREŽICE,POSAVSKA
PEČICE,LITIJA,ZASAVSKA
PEČINE,TOLMIN,GORIŠKA
PEČJE,SEVNICA,POSAVSKA
PEČKE,MAKOLE,PODRAVSKA
PEČKI,VELIKE LAŠČE,OSREDNJESLOVENSKA
PEČNIK,IDRIJA,GORIŠKA
PEČOVJE,ŠTORE,SAVINJSKA
PEČOVNIK,CELJE,SAVINJSKA
PEŠČENI VRH,CERKVENJAK,PODRAVSKA
PEŠČENIK,IVANČNA GORICA,OSREDNJESLOVENSKA
PIJANA GORA,KRŠKO,POSAVSKA
PIJAVA GORICA,ŠKOFLJICA,OSREDNJESLOVENSKA
PIJAVICE,SEVNICA,POSAVSKA
PIJOVCI,ŠMARJE PRI JELŠAH,SAVINJSKA
PIKOVNIK,CERKNICA,PRIMORSKO-NOTRANJSKA
PILŠTANJ,KOZJE,SAVINJSKA
PINCE - MAROF/PINCE - MAJOR,LENDAVA/LENDVA,POMURSKA
PINCE/PINCE,LENDAVA/LENDVA,POMURSKA
PIRAN/PIRANO,PIRAN/PIRANO,OBALNO-KRAŠKA
PIREŠICA,VELENJE,SAVINJSKA
PIRMANE,CERKNICA,PRIMORSKO-NOTRANJSKA
PIRČE,KOSTEL,JUGOVZHODNA SLOVENIJA
PIRŠENBREG,BREŽICE,POSAVSKA
PIRŠEVO,KAMNIK,OSREDNJESLOVENSKA
PISARI,KOPER/CAPODISTRIA,OBALNO-KRAŠKA
PIVKA,PIVKA,PRIMORSKO-NOTRANJSKA
PIVOLA,HOČE - SLIVNICA,PODRAVSKA
PIŠECE,BREŽICE,POSAVSKA
PLACAR,DESTRNIK,PODRAVSKA
PLACEROVCI,GORIŠNICA,PODRAVSKA
PLANICA,KRANJ,GORENJSKA
PLANICA,RAČE - FRAM,PODRAVSKA
PLANINA,AJDOVŠČINA,GORIŠKA
PLANINA,IVANČNA GORICA,OSREDNJESLOVENSKA
PLANINA,KOSTEL,JUGOVZHODNA SLOVENIJA
PLANINA,LJUBNO,SAVINJSKA
PLANINA,POSTOJNA,PRIMORSKO-NOTRANJSKA
PLANINA,SEMIČ,JUGOVZHODNA SLOVENIJA
PLANINA NA POHORJU,ZREČE,SAVINJSKA
PLANINA NAD HORJULOM,DOBROVA - POLHOV GRADEC,OSREDNJESLOVENSKA
PLANINA POD GOLICO,JESENICE,GORENJSKA
PLANINA POD ŠUMIKOM,SLOVENSKA BISTRICA,PODRAVSKA
PLANINA PRI CERKNEM,CERKNO,GORIŠKA
PLANINA PRI RAKI,KRŠKO,POSAVSKA
PLANINA PRI SEVNICI,ŠENTJUR,SAVINJSKA
PLANINA V PODBOČJU,KRŠKO,POSAVSKA
PLANINCA,BREZOVICA,OSREDNJESLOVENSKA
PLANINCA,ŠENTJUR,SAVINJSKA
PLANINSKA VAS,TRBOVLJE,ZASAVSKA
PLANINSKA VAS,ŠENTJUR,SAVINJSKA
PLANINSKI VRH,ŠENTJUR,SAVINJSKA
PLANJSKO,MAJŠPERK,PODRAVSKA
PLAT,MEŽICA,KOROŠKA
PLAT,ROGAŠKA SLATINA,SAVINJSKA
PLATINOVEC,ŠMARJE PRI JELŠAH,SAVINJSKA
PLAVE,KANAL,GORIŠKA
PLAVJE,KOPER/CAPODISTRIA,OBALNO-KRAŠKA
PLAVŠKI ROVT,JESENICE,GORENJSKA
PLAZOVJE,LAŠKO,SAVINJSKA
PLAČ,KUNGOTA,PODRAVSKA
PLAČE,AJDOVŠČINA,GORIŠKA
PLEMBERK,NOVO MESTO,JUGOVZHODNA SLOVENIJA
PLES,BISTRICA OB SOTLI,POSAVSKA
PLES,MORAVČE,OSREDNJESLOVENSKA
PLESKO,HRASTNIK,ZASAVSKA
PLETERJE,KIDRIČEVO,PODRAVSKA
PLETERJE,KRŠKO,POSAVSKA
PLETOVARJE,ŠENTJUR,SAVINJSKA
PLEŠ,ŽUŽEMBERK,JUGOVZHODNA SLOVENIJA
PLEŠE,ŠKOFLJICA,OSREDNJESLOVENSKA
PLEŠIVEC,VELENJE,SAVINJSKA
PLEŠIVICA,BREZOVICA,OSREDNJESLOVENSKA
PLEŠIVICA,LJUTOMER,POMURSKA
PLEŠIVICA,SEŽANA,OBALNO-KRAŠKA
PLEŠIVICA,ŽUŽEMBERK,JUGOVZHODNA SLOVENIJA
PLEŠIVICA PRI ŽALNI,GROSUPLJE,OSREDNJESLOVENSKA
PLEŠIVO,BRDA,GORIŠKA
PLINTOVEC,KUNGOTA,PODRAVSKA
PLISKOVICA,SEŽANA,OBALNO-KRAŠKA
PLITVICA,APAČE,POMURSKA
PLITVIČKI VRH,GORNJA RADGONA,POMURSKA
PLODRŠNICA,ŠENTILJ,PODRAVSKA
PLOSOVO,VELIKE LAŠČE,OSREDNJESLOVENSKA
PLUSKA,TREBNJE,JUGOVZHODNA SLOVENIJA
PLUŽNA,BOVEC,GORIŠKA
PLUŽNJE,CERKNO,GORIŠKA
POBEGI,KOPER/CAPODISTRIA,OBALNO-KRAŠKA
POBREŽ,OPLOTNICA,PODRAVSKA
POBREŽJE,VIDEM,PODRAVSKA
POBREŽJE,ČRNOMELJ,JUGOVZHODNA SLOVENIJA
PODBELA,KOBARID,GORIŠKA
PODBEŽE,ILIRSKA BISTRICA,PRIMORSKO-NOTRANJSKA
PODBLICA,KRANJ,GORENJSKA
PODBORŠT,IVANČNA GORICA,OSREDNJESLOVENSKA
PODBORŠT,SEVNICA,POSAVSKA
PODBORŠT PRI KOMENDI,KOMENDA,OSREDNJESLOVENSKA
PODBOČ,POLJČANE,PODRAVSKA
PODBOČJE,KRŠKO,POSAVSKA
PODBRDO,TOLMIN,GORIŠKA
PODBREG,KAMNIK,OSREDNJESLOVENSKA
PODBREG,VIPAVA,GORIŠKA
PODBREZJE,NAKLO,GORENJSKA
PODBREŽE,SEŽANA,OBALNO-KRAŠKA
PODBUKOVJE,IVANČNA GORICA,OSREDNJESLOVENSKA
PODBUKOVJE PRI VAČAH,LITIJA,ZASAVSKA
PODCERKEV,LOŠKA DOLINA,PRIMORSKO-NOTRANJSKA
PODEN,KOSTEL,JUGOVZHODNA SLOVENIJA
PODGAJ,ŠENTJUR,SAVINJSKA
PODGORA,DOBREPOLJE,OSREDNJESLOVENSKA
PODGORA,GORENJA VAS - POLJANE,GORENJSKA
PODGORA,RAVNE NA KOROŠKEM,KOROŠKA
PODGORA,STRAŽA,JUGOVZHODNA SLOVENIJA
PODGORA,ŠMARTNO OB PAKI,SAVINJSKA
PODGORA PRI DOLSKEM,DOL PRI LJUBLJANI,OSREDNJESLOVENSKA
PODGORA PRI LOŽU,LOŠKA DOLINA,PRIMORSKO-NOTRANJSKA
PODGORA PRI ZLATEM POLJU,LUKOVICA,OSREDNJESLOVENSKA
PODGORCI,ORMOŽ,PODRAVSKA
PODGORICA,DOBREPOLJE,OSREDNJESLOVENSKA
PODGORICA,SEVNICA,POSAVSKA
PODGORICA PRI PEČAH,MORAVČE,OSREDNJESLOVENSKA
PODGORICA PRI PODTABORU,GROSUPLJE,OSREDNJESLOVENSKA
PODGORICA PRI ŠMARJU,GROSUPLJE,OSREDNJESLOVENSKA
PODGORJE,APAČE,POMURSKA
PODGORJE,KAMNIK,OSREDNJESLOVENSKA
PODGORJE,KOPER/CAPODISTRIA,OBALNO-KRAŠKA
PODGORJE,SLOVENJ GRADEC,KOROŠKA
PODGORJE,VELENJE,SAVINJSKA
PODGORJE OB SEVNIČNI,SEVNICA,POSAVSKA
PODGORJE POD ČERINOM,VOJNIK,SAVINJSKA
PODGORJE PRI LETUŠU,BRASLOVČE,SAVINJSKA
PODGORJE PRI PIŠECAH,BREŽICE,POSAVSKA
PODGOZD,IG,OSREDNJESLOVENSKA
PODGOZD,NOVA GORICA,GORIŠKA
PODGOZD,ŽUŽEMBERK,JUGOVZHODNA SLOVENIJA
PODGRAD,GORNJA RADGONA,POMURSKA
PODGRAD,ILIRSKA BISTRICA,PRIMORSKO-NOTRANJSKA
PODGRAD,LJUBLJANA,OSREDNJESLOVENSKA
PODGRAD,NOVO MESTO,JUGOVZHODNA SLOVENIJA
PODGRAD,ŠENTJUR,SAVINJSKA
PODGRAD NA POHORJU,SLOVENSKA BISTRICA,PODRAVSKA
PODGRAD PRI VREMAH,DIVAČA,OBALNO-KRAŠKA
PODGRADJE,LJUTOMER,POMURSKA
PODGRAJE,ILIRSKA BISTRICA,PRIMORSKO-NOTRANJSKA
PODGRAČENO,BREŽICE,POSAVSKA
PODGRIČ,VIPAVA,GORIŠKA
PODHOJNI HRIB,VELIKE LAŠČE,OSREDNJESLOVENSKA
PODHOM,GORJE,GORENJSKA
PODHOSTA,DOLENJSKE TOPLICE,JUGOVZHODNA SLOVENIJA
PODHRUŠKA,KAMNIK,OSREDNJESLOVENSKA
PODIGRAC,KUNGOTA,PODRAVSKA
PODJELJE,BOHINJ,GORENJSKA
PODJELOVO BRDO,GORENJA VAS - POLJANE,GORENJSKA
PODJELŠE,KAMNIK,OSREDNJESLOVENSKA
PODJETNIŠKO NASELJE KOČEVJE,KOČEVJE,JUGOVZHODNA SLOVENIJA
PODKLANC,DRAVOGRAD,KOROŠKA
PODKLANEC,SODRAŽICA,JUGOVZHODNA SLOVENIJA
PODKLANEC,ČRNOMELJ,JUGOVZHODNA SLOVENIJA
PODKLANEC,ŽIRI,GORENJSKA
PODKOGELJ,VELIKE LAŠČE,OSREDNJESLOVENSKA
PODKOREN,KRANJSKA GORA,GORENJSKA
PODKOČNA,JESENICE,GORENJSKA
PODKRAJ,AJDOVŠČINA,GORIŠKA
PODKRAJ,HRASTNIK,ZASAVSKA
PODKRAJ,IG,OSREDNJESLOVENSKA
PODKRAJ,RAVNE NA KOROŠKEM,KOROŠKA
PODKRAJ,VELIKE LAŠČE,OSREDNJESLOVENSKA
PODKRAJ,ŽALEC,SAVINJSKA
PODKRAJ PRI MEŽICI,MEŽICA,KOROŠKA
PODKRAJ PRI VELENJU,VELENJE,SAVINJSKA
PODKRAJ PRI ZAGORJU,ZAGORJE OB SAVI,ZASAVSKA
PODKUM,ZAGORJE OB SAVI,ZASAVSKA
PODLANIŠČE,CERKNO,GORIŠKA
PODLEHNIK,PODLEHNIK,PODRAVSKA
PODLESJE,KOČEVJE,JUGOVZHODNA SLOVENIJA
PODLEŠJE,ŠENTJUR,SAVINJSKA
PODLIPA,KRŠKO,POSAVSKA
PODLIPA,VRHNIKA,OSREDNJESLOVENSKA
PODLIPA,ŽUŽEMBERK,JUGOVZHODNA SLOVENIJA
PODLIPOGLAV,LJUBLJANA,OSREDNJESLOVENSKA
PODLIPOVICA,ZAGORJE OB SAVI,ZASAVSKA
PODLISEC,TREBNJE,JUGOVZHODNA SLOVENIJA
PODLJUBELJ,TRŽIČ,GORENJSKA
PODLOG,VELIKE LAŠČE,OSREDNJESLOVENSKA
PODLOG,ČRNOMELJ,JUGOVZHODNA SLOVENIJA
PODLOG POD BOHORJEM,ŠENTJUR,SAVINJSKA
PODLOG V SAVINJSKI DOLINI,ŽALEC,SAVINJSKA
PODLOM,KAMNIK,OSREDNJESLOVENSKA
PODLONK,ŽELEZNIKI,GORENJSKA
PODLOŽ,LOŠKA DOLINA,PRIMORSKO-NOTRANJSKA
PODLOŽE,MAJŠPERK,PODRAVSKA
PODMELEC,TOLMIN,GORIŠKA
PODMILJ,LUKOVICA,OSREDNJESLOVENSKA
PODMOLNIK,LJUBLJANA,OSREDNJESLOVENSKA
PODNANOS,VIPAVA,GORIŠKA
PODNART,RADOVLJICA,GORENJSKA
PODOB,SLOVENSKE KONJICE,SAVINJSKA
PODOBENO,GORENJA VAS - POLJANE,GORENJSKA
PODOLNICA,HORJUL,OSREDNJESLOVENSKA
PODOLŠEVA,SOLČAVA,SAVINJSKA
PODOVA,RAČE - FRAM,PODRAVSKA
PODPECA,ČRNA NA KOROŠKEM,KOROŠKA
PODPEČ,BREZOVICA,OSREDNJESLOVENSKA
PODPEČ,DOBREPOLJE,OSREDNJESLOVENSKA
PODPEČ,KOPER/CAPODISTRIA,OBALNO-KRAŠKA
PODPEČ NAD MAROFOM,ŠENTJUR,SAVINJSKA
PODPEČ OB DRAVINJI,SLOVENSKE KONJICE,SAVINJSKA
PODPEČ POD SKALO,LITIJA,ZASAVSKA
PODPEČ PRI ŠENTVIDU,ŠENTJUR,SAVINJSKA
PODPLANINA,LOŠKI POTOK,JUGOVZHODNA SLOVENIJA
PODPLAT,ROGAŠKA SLATINA,SAVINJSKA
PODPLEČE,CERKNO,GORIŠKA
PODPLEŠIVICA,BREZOVICA,OSREDNJESLOVENSKA
PODPOREZEN,ŽELEZNIKI,GORENJSKA
PODPRESKA,LOŠKI POTOK,JUGOVZHODNA SLOVENIJA
PODPULFRCA,ŠKOFJA LOKA,GORENJSKA
PODRAGA,VIPAVA,GORIŠKA
PODREBER,DOBROVA - POLHOV GRADEC,OSREDNJESLOVENSKA
PODREBER,SEMIČ,JUGOVZHODNA SLOVENIJA
PODREČA,KRANJ,GORENJSKA
PODREČJE,DOMŽALE,OSREDNJESLOVENSKA
PODROJE,ŠMARTNO PRI LITIJI,OSREDNJESLOVENSKA
PODSABOTIN,BRDA,GORIŠKA
PODSKRAJNIK,CERKNICA,PRIMORSKO-NOTRANJSKA
PODSLIVNICA,CERKNICA,PRIMORSKO-NOTRANJSKA
PODSMREKA,DOBROVA - POLHOV GRADEC,OSREDNJESLOVENSKA
PODSMREKA PRI VELIKIH LAŠČAH,VELIKE LAŠČE,OSREDNJESLOVENSKA
PODSMREKA PRI VIŠNJI GORI,IVANČNA GORICA,OSREDNJESLOVENSKA
PODSMREČJE,LUKOVICA,OSREDNJESLOVENSKA
PODSREDA,KOZJE,SAVINJSKA
PODSTENE,KOČEVJE,JUGOVZHODNA SLOVENIJA
PODSTENE PRI KOSTELU,KOSTEL,JUGOVZHODNA SLOVENIJA
PODSTENICE,DOLENJSKE TOPLICE,JUGOVZHODNA SLOVENIJA
PODSTENJE,ILIRSKA BISTRICA,PRIMORSKO-NOTRANJSKA
PODSTENJŠEK,ILIRSKA BISTRICA,PRIMORSKO-NOTRANJSKA
PODSTRAN,MORAVČE,OSREDNJESLOVENSKA
PODSTRM,KOSTANJEVICA NA KRKI,POSAVSKA
PODSTRMEC,VELIKE LAŠČE,OSREDNJESLOVENSKA
PODSTUDENEC,KAMNIK,OSREDNJESLOVENSKA
PODTABOR,DOBREPOLJE,OSREDNJESLOVENSKA
PODTABOR,ILIRSKA BISTRICA,PRIMORSKO-NOTRANJSKA
PODTURN,MOKRONOG - TREBELNO,JUGOVZHODNA SLOVENIJA
PODTURN,ROGAŠKA SLATINA,SAVINJSKA
PODTURN PRI DOL. TOPLICAH,DOLENJSKE TOPLICE,JUGOVZHODNA SLOVENIJA
PODULAKA,VELIKE LAŠČE,OSREDNJESLOVENSKA
PODULCE,KRŠKO,POSAVSKA
PODVELKA,PODVELKA,KOROŠKA
PODVEŽA,LUČE,SAVINJSKA
PODVIN,ŽALEC,SAVINJSKA
PODVIN PRI POLZELI,POLZELA,SAVINJSKA
PODVINCI,PTUJ,PODRAVSKA
PODVINE,ŠENTJUR,SAVINJSKA
PODVINJE,BREŽICE,POSAVSKA
PODVOLOVLJEK,LUČE,SAVINJSKA
PODVRH,BRASLOVČE,SAVINJSKA
PODVRH,GORENJA VAS - POLJANE,GORENJSKA
PODVRH,OSILNICA,JUGOVZHODNA SLOVENIJA
PODVRH,SEVNICA,POSAVSKA
PODZEMELJ,METLIKA,JUGOVZHODNA SLOVENIJA
PODČETRTEK,PODČETRTEK,SAVINJSKA
PODŠENTJUR,LITIJA,ZASAVSKA
PODŽAGA,VELIKE LAŠČE,OSREDNJESLOVENSKA
POGLED,APAČE,POMURSKA
POGLED,MORAVČE,OSREDNJESLOVENSKA
POGONIK,LITIJA,ZASAVSKA
POHORJE,CIRKULANE,PODRAVSKA
POKLEK NAD BLANCO,SEVNICA,POSAVSKA
POKLEK PRI PODSREDI,KOZJE,SAVINJSKA
POKOJIŠČE,VRHNIKA,OSREDNJESLOVENSKA
POKOJNICA,IVANČNA GORICA,OSREDNJESLOVENSKA
POKOŠE,SLOVENSKA BISTRICA,PODRAVSKA
POLAJNA,ZREČE,SAVINJSKA
POLANA,HOČE - SLIVNICA,PODRAVSKA
POLANA,LAŠKO,SAVINJSKA
POLANA,MURSKA SOBOTA,POMURSKA
POLENCI,DORNAVA,PODRAVSKA
POLENE,SLOVENSKE KONJICE,SAVINJSKA
POLENŠAK,DORNAVA,PODRAVSKA
POLETIČI,KOPER/CAPODISTRIA,OBALNO-KRAŠKA
POLHOV GRADEC,DOBROVA - POLHOV GRADEC,OSREDNJESLOVENSKA
POLHOVICA,ŠENTJERNEJ,JUGOVZHODNA SLOVENIJA
POLICA,GROSUPLJE,OSREDNJESLOVENSKA
POLICA,NAKLO,GORENJSKA
POLICE,CERKNO,GORIŠKA
POLICE,GORNJA RADGONA,POMURSKA
POLIČKA VAS,PESNICA,PODRAVSKA
POLIČKI VRH,PESNICA,PODRAVSKA
POLJANA,KAMNIK,OSREDNJESLOVENSKA
POLJANA,PREVALJE,KOROŠKA
POLJANE,CERKNO,GORIŠKA
POLJANE,REČICA OB SAVINJI,SAVINJSKA
POLJANE NAD BLAGOVICO,LUKOVICA,OSREDNJESLOVENSKA
POLJANE NAD ŠKOFJO LOKO,GORENJA VAS - POLJANE,GORENJSKA
POLJANE PRI MIRNI PEČI,MIRNA PEČ,JUGOVZHODNA SLOVENIJA
POLJANE PRI PODGRADU,HRPELJE - KOZINA,OBALNO-KRAŠKA
POLJANE PRI PRIMSKOVEM,ŠMARTNO PRI LITIJI,OSREDNJESLOVENSKA
POLJANE PRI STIČNI,IVANČNA GORICA,OSREDNJESLOVENSKA
POLJANE PRI ŠTJAKU,SEŽANA,OBALNO-KRAŠKA
POLJANE PRI ŽUŽEMBERKU,ŽUŽEMBERK,JUGOVZHODNA SLOVENIJA
POLJE,BOHINJ,GORENJSKA
POLJE,TOLMIN,GORIŠKA
POLJE OB SOTLI,PODČETRTEK,SAVINJSKA
POLJE PRI BISTRICI,BISTRICA OB SOTLI,POSAVSKA
POLJE PRI TRŽIŠČU,SEVNICA,POSAVSKA
POLJE PRI VIŠNJI GORI,IVANČNA GORICA,OSREDNJESLOVENSKA
POLJE PRI VODICAH,VODICE,OSREDNJESLOVENSKA
POLJUBINJ,TOLMIN,GORIŠKA
POLJČANE,POLJČANE,PODRAVSKA
POLJČE,BRASLOVČE,SAVINJSKA
POLJČE,RADOVLJICA,GORENJSKA
POLJŠICA PRI GORJAH,GORJE,GORENJSKA
POLJŠICA PRI PODNARTU,RADOVLJICA,GORENJSKA
POLOM,KOČEVJE,JUGOVZHODNA SLOVENIJA
POLZELA,POLZELA,SAVINJSKA
POLZELO,VELIKE LAŠČE,OSREDNJESLOVENSKA
POLŠEČE,BLOKE,PRIMORSKO-NOTRANJSKA
POLŠINA,ZAGORJE OB SAVI,ZASAVSKA
POLŠNIK,LITIJA,ZASAVSKA
POLŽANSKA GORCA,ŠMARJE PRI JELŠAH,SAVINJSKA
POLŽANSKA VAS,ŠMARJE PRI JELŠAH,SAVINJSKA
POLŽE,VOJNIK,SAVINJSKA
POMJAN,KOPER/CAPODISTRIA,OBALNO-KRAŠKA
PONDOR,TABOR,SAVINJSKA
PONGRAC,ŽALEC,SAVINJSKA
PONGRCE,KIDRIČEVO,PODRAVSKA
PONIKVA,ŠENTJUR,SAVINJSKA
PONIKVA PRI ŽALCU,ŽALEC,SAVINJSKA
PONIKVE,BREŽICE,POSAVSKA
PONIKVE,CERKNICA,PRIMORSKO-NOTRANJSKA
PONIKVE,DOBREPOLJE,OSREDNJESLOVENSKA
PONIKVE,SEŽANA,OBALNO-KRAŠKA
PONIKVE,TOLMIN,GORIŠKA
PONIKVE PRI STUDENCU,SEVNICA,POSAVSKA
PONKVICA,ŠENTJUR,SAVINJSKA
PONOVA VAS,GROSUPLJE,OSREDNJESLOVENSKA
PONOVIČE,LITIJA,ZASAVSKA
POPETRE,KOPER/CAPODISTRIA,OBALNO-KRAŠKA
POPOVCI,VIDEM,PODRAVSKA
POPOVO,TRŽIČ,GORENJSKA
PORDAŠINCI/KISFALU,MORAVSKE TOPLICE,POMURSKA
POREBER,KAMNIK,OSREDNJESLOVENSKA
POREZEN,TOLMIN,GORIŠKA
POREČE,VIPAVA,GORIŠKA
PORTOROŽ/PORTOROSE,PIRAN/PIRANO,OBALNO-KRAŠKA
POSAVEC,RADOVLJICA,GORENJSKA
POSLOVNA CONA ŽEJE PRI KOMENDI,KOMENDA,OSREDNJESLOVENSKA
POSTAJA,TOLMIN,GORIŠKA
POSTOJNA,POSTOJNA,PRIMORSKO-NOTRANJSKA
POTARJE,TRŽIČ,GORENJSKA
POTISKAVEC,DOBREPOLJE,OSREDNJESLOVENSKA
POTOK,IDRIJA,GORIŠKA
POTOK,KAMNIK,OSREDNJESLOVENSKA
POTOK,KOSTEL,JUGOVZHODNA SLOVENIJA
POTOK,NAZARJE,SAVINJSKA
POTOK,STRAŽA,JUGOVZHODNA SLOVENIJA
POTOK,TREBNJE,JUGOVZHODNA SLOVENIJA
POTOK,ŽELEZNIKI,GORENJSKA
POTOK PRI DORNBERKU,NOVA GORICA,GORIŠKA
POTOK PRI KOMENDI,KOMENDA,OSREDNJESLOVENSKA
POTOK PRI MULJAVI,IVANČNA GORICA,OSREDNJESLOVENSKA
POTOK PRI VAČAH,LITIJA,ZASAVSKA
POTOK V ČRNI,KAMNIK,OSREDNJESLOVENSKA
POTOKI,JESENICE,GORENJSKA
POTOKI,KOBARID,GORIŠKA
POTOKI,SEMIČ,JUGOVZHODNA SLOVENIJA
POTOV VRH,NOVO MESTO,JUGOVZHODNA SLOVENIJA
POTOČE,AJDOVŠČINA,GORIŠKA
POTOČE,DIVAČA,OBALNO-KRAŠKA
POTOČE,PREDDVOR,GORENJSKA
POTOŠKA VAS,ZAGORJE OB SAVI,ZASAVSKA
POVIR,SEŽANA,OBALNO-KRAŠKA
POVLJE,KRANJ,GORENJSKA
POVODJE,VODICE,OSREDNJESLOVENSKA
POVRŠJE,KRŠKO,POSAVSKA
POVČENO,LAŠKO,SAVINJSKA
POVŽANE,HRPELJE - KOZINA,OBALNO-KRAŠKA
POZIRNO,ŠKOFJA LOKA,GORENJSKA
POZNANOVCI,PUCONCI,POMURSKA
POZNIKOVO,VELIKE LAŠČE,OSREDNJESLOVENSKA
POČAKOVO,RADEČE,POSAVSKA
POČE,CERKNO,GORIŠKA
POČEHOVA,MARIBOR,PODRAVSKA
POČENIK,PESNICA,PODRAVSKA
POŠTENA VAS,BREŽICE,POSAVSKA
POŽARJE,ZAGORJE OB SAVI,ZASAVSKA
POŽEG,RAČE - FRAM,PODRAVSKA
POŽENIK,CERKLJE NA GORENJSKEM,GORENJSKA
POŽNICA,LAŠKO,SAVINJSKA
PRADE/PRADE,KOPER/CAPODISTRIA,OBALNO-KRAŠKA
PRAGERSKO,SLOVENSKA BISTRICA,PODRAVSKA
PRAPETNO,TOLMIN,GORIŠKA
PRAPETNO BRDO,TOLMIN,GORIŠKA
PRAPRETNO,RADEČE,POSAVSKA
PRAPRETNO,ŠENTJUR,SAVINJSKA
PRAPRETNO PRI HRASTNIKU - DEL,HRASTNIK,ZASAVSKA
PRAPRETNO PRI HRASTNIKU - DEL,TRBOVLJE,ZASAVSKA
PRAPREČE,VRANSKO,SAVINJSKA
PRAPREČE,ŽUŽEMBERK,JUGOVZHODNA SLOVENIJA
PRAPREČE - DEL,TRBOVLJE,ZASAVSKA
PRAPREČE - DEL,ZAGORJE OB SAVI,ZASAVSKA
PRAPREČE PRI STRAŽI,STRAŽA,JUGOVZHODNA SLOVENIJA
PRAPREČE PRI ŠENTJERNEJU,ŠENTJERNEJ,JUGOVZHODNA SLOVENIJA
PRAPROT,SEMIČ,JUGOVZHODNA SLOVENIJA
PRAPROTNA POLICA,CERKLJE NA GORENJSKEM,GORENJSKA
PRAPROTNICA,MIRNA,JUGOVZHODNA SLOVENIJA
PRAPROTNO,ŠKOFJA LOKA,GORENJSKA
PRAPROTNO BRDO,LOGATEC,OSREDNJESLOVENSKA
PRAPROČE,DOBROVA - POLHOV GRADEC,OSREDNJESLOVENSKA
PRAPROČE,KOPER/CAPODISTRIA,OBALNO-KRAŠKA
PRAPROČE,RIBNICA,JUGOVZHODNA SLOVENIJA
PRAPROČE,SEMIČ,JUGOVZHODNA SLOVENIJA
PRAPROČE PRI GROSUPLJEM,GROSUPLJE,OSREDNJESLOVENSKA
PRAPROČE PRI TEMENICI,IVANČNA GORICA,OSREDNJESLOVENSKA
PRAPROČE V TUHINJU,KAMNIK,OSREDNJESLOVENSKA
PRAPROŠE,RADOVLJICA,GORENJSKA
PRAZNIKI,VELIKE LAŠČE,OSREDNJESLOVENSKA
PRAŠE,KRANJ,GORENJSKA
PREBAČEVO,ŠENČUR,GORENJSKA
PREBOLD,PREBOLD,SAVINJSKA
PRECETINCI,LJUTOMER,POMURSKA
PRECLAVA,ORMOŽ,PODRAVSKA
PREDANOVCI,PUCONCI,POMURSKA
PREDDVOR,PREDDVOR,GORENJSKA
PREDEL,ŠMARJE PRI JELŠAH,SAVINJSKA
PREDENCA,ŠMARJE PRI JELŠAH,SAVINJSKA
PREDGRAD,KOČEVJE,JUGOVZHODNA SLOVENIJA
PREDGRIŽE,IDRIJA,GORIŠKA
PREDJAMA,POSTOJNA,PRIMORSKO-NOTRANJSKA
PREDLOKA,KOPER/CAPODISTRIA,OBALNO-KRAŠKA
PREDMEJA,AJDOVŠČINA,GORIŠKA
PREDMOST,GORENJA VAS - POLJANE,GORENJSKA
PREDOLE,GROSUPLJE,OSREDNJESLOVENSKA
PREDOSLJE,KRANJ,GORENJSKA
PREDSTRUGE,DOBREPOLJE,OSREDNJESLOVENSKA
PREGARA,KOPER/CAPODISTRIA,OBALNO-KRAŠKA
PREGARJE,ILIRSKA BISTRICA,PRIMORSKO-NOTRANJSKA
PREKOPA,VRANSKO,SAVINJSKA
PREKORJE,CELJE,SAVINJSKA
PRELASKO,PODČETRTEK,SAVINJSKA
PRELESJE,GORENJA VAS - POLJANE,GORENJSKA
PRELESJE,LITIJA,ZASAVSKA
PRELESJE,ČRNOMELJ,JUGOVZHODNA SLOVENIJA
PRELESJE,ŠENTRUPERT,JUGOVZHODNA SLOVENIJA
PRELOG,DOMŽALE,OSREDNJESLOVENSKA
PRELOGE,SEMIČ,JUGOVZHODNA SLOVENIJA
PRELOGE,SLOVENSKA BISTRICA,PODRAVSKA
PRELOGE PRI KONJICAH,SLOVENSKE KONJICE,SAVINJSKA
PRELOGE PRI ŠMARJU,ŠMARJE PRI JELŠAH,SAVINJSKA
PRELOKA,ČRNOMELJ,JUGOVZHODNA SLOVENIJA
PRELOŽE,ILIRSKA BISTRICA,PRIMORSKO-NOTRANJSKA
PRELOŽE PRI LOKVI,SEŽANA,OBALNO-KRAŠKA
