naselje,obcina,regija
BREZJE PRI KUMPOLJU,LITIJA,ZASAVSKA
BREZJE PRI LEKMARJU,ŠMARJE PRI JELŠAH,SAVINJSKA
BREZJE PRI LIPOGLAVU,LJUBLJANA,OSREDNJESLOVENSKA
BREZJE PRI LOČAH,SLOVENSKE KONJICE,SAVINJSKA
BREZJE PRI OPLOTNICI,OPLOTNICA,PODRAVSKA
BREZJE PRI PODPLATU,ROGAŠKA SLATINA,SAVINJSKA
BREZJE PRI POLJČANAH,POLJČANE,PODRAVSKA
BREZJE PRI RAKI,KRŠKO,POSAVSKA
BREZJE PRI ROŽNEM DOLU,SEMIČ,JUGOVZHODNA SLOVENIJA
BREZJE PRI SENUŠAH,KRŠKO,POSAVSKA
BREZJE PRI SLOV. BISTRICI,SLOVENSKA BISTRICA,PODRAVSKA
BREZJE PRI TREBELNEM,MOKRONOG - TREBELNO,JUGOVZHODNA SLOVENIJA
BREZJE PRI TRŽIČU,TRŽIČ,GORENJSKA
BREZJE PRI VELIKI DOLINI,BREŽICE,POSAVSKA
BREZJE PRI VINJEM VRHU,SEMIČ,JUGOVZHODNA SLOVENIJA
BREZJE PRI ŠENTJERNEJU,ŠENTJERNEJ,JUGOVZHODNA SLOVENIJA
BREZJE V PODBOČJU,KRŠKO,POSAVSKA
BREZNI VRH,RADLJE OB DRAVI,KOROŠKA
BREZNICA,PREVALJE,KOROŠKA
BREZNICA,ŽIROVNICA,GORENJSKA
BREZNICA POD LUBNIKOM,ŠKOFJA LOKA,GORENJSKA
BREZNICA PRI ŽIREH,ŽIRI,GORENJSKA
BREZNIK,ZAGORJE OB SAVI,ZASAVSKA
BREZNIK,ČRNOMELJ,JUGOVZHODNA SLOVENIJA
BREZNO,LAŠKO,SAVINJSKA
BREZNO,PODVELKA,KOROŠKA
BREZOVA,CELJE,SAVINJSKA
BREZOVA REBER,SEMIČ,JUGOVZHODNA SLOVENIJA
BREZOVA REBER PRI DVORU,ŽUŽEMBERK,JUGOVZHODNA SLOVENIJA
BREZOVCI,DORNAVA,PODRAVSKA
BREZOVCI,PUCONCI,POMURSKA
BREZOVEC,CIRKULANE,PODRAVSKA
BREZOVEC - DEL,LENDAVA/LENDVA,POMURSKA
BREZOVEC PRI POLJU,PODČETRTEK,SAVINJSKA
BREZOVEC PRI ROGATCU,ROGATEC,SAVINJSKA
BREZOVI DOL,IVANČNA GORICA,OSREDNJESLOVENSKA
BREZOVICA,HRPELJE - KOZINA,OBALNO-KRAŠKA
BREZOVICA,RADOVLJICA,GORENJSKA
BREZOVICA,VELIKA POLANA,POMURSKA
BREZOVICA,ŠMARJEŠKE TOPLICE,JUGOVZHODNA SLOVENIJA
BREZOVICA NA BIZELJSKEM,BREŽICE,POSAVSKA
BREZOVICA PRI BOROVNICI,BOROVNICA,OSREDNJESLOVENSKA
BREZOVICA PRI DOBU,DOMŽALE,OSREDNJESLOVENSKA
BREZOVICA PRI GRADINU,KOPER/CAPODISTRIA,OBALNO-KRAŠKA
BREZOVICA PRI LJUBLJANI,BREZOVICA,OSREDNJESLOVENSKA
BREZOVICA PRI MEDVODAH,MEDVODE,OSREDNJESLOVENSKA
BREZOVICA PRI METLIKI,METLIKA,JUGOVZHODNA SLOVENIJA
BREZOVICA PRI MIRNI,MIRNA,JUGOVZHODNA SLOVENIJA
BREZOVICA PRI PREDGRADU,KOČEVJE,JUGOVZHODNA SLOVENIJA
BREZOVICA PRI STOPIČAH,NOVO MESTO,JUGOVZHODNA SLOVENIJA
BREZOVICA PRI TREBELNEM,MOKRONOG - TREBELNO,JUGOVZHODNA SLOVENIJA
BREZOVICA PRI ZLATEM POLJU,LUKOVICA,OSREDNJESLOVENSKA
BREZOVICA PRI ČRMOŠNJICAH,SEMIČ,JUGOVZHODNA SLOVENIJA
BREZOVICA V PODBOČJU,KRŠKO,POSAVSKA
BREZOVK,BRDA,GORIŠKA
BREZOVO,LITIJA,ZASAVSKA
BREZOVO,SEVNICA,POSAVSKA
BREZOVO BRDO,HRPELJE - KOZINA,OBALNO-KRAŠKA
BREZOVSKA GORA,KRŠKO,POSAVSKA
BREZULA,RAČE - FRAM,PODRAVSKA
BREŠKA VAS,ŠENTJERNEJ,JUGOVZHODNA SLOVENIJA
BREŽE,RIBNICA,JUGOVZHODNA SLOVENIJA
BREŽEC PRI DIVAČI,DIVAČA,OBALNO-KRAŠKA
BREŽEC PRI PODGORJU,KOPER/CAPODISTRIA,OBALNO-KRAŠKA
BREŽICE,BREŽICE,POSAVSKA
BRGLEZ,LITIJA,ZASAVSKA
BRIGA,KOSTEL,JUGOVZHODNA SLOVENIJA
BRINJE,DOL PRI LJUBLJANI,OSREDNJESLOVENSKA
BRINJE,ŠENTRUPERT,JUGOVZHODNA SLOVENIJA
BRINOVŠČICA,RIBNICA,JUGOVZHODNA SLOVENIJA
BRITOF,KRANJ,GORENJSKA
BRIČ,KOPER/CAPODISTRIA,OBALNO-KRAŠKA
BRIŠE,KAMNIK,OSREDNJESLOVENSKA
BRIŠE,ZAGORJE OB SAVI,ZASAVSKA
BRIŠE PRI POLHOVEM GRADCU,DOBROVA - POLHOV GRADEC,OSREDNJESLOVENSKA
BRJE,AJDOVŠČINA,GORIŠKA
BRJE PRI KOMNU,KOMEN,OBALNO-KRAŠKA
BRJE PRI KOPRIVI,SEŽANA,OBALNO-KRAŠKA
BRLOG,KRŠKO,POSAVSKA
BRLOG - DEL,SODRAŽICA,JUGOVZHODNA SLOVENIJA
BRLOG - DEL,VELIKE LAŠČE,OSREDNJESLOVENSKA
BRNICA,HRASTNIK,ZASAVSKA
BRNICA,ŽALEC,SAVINJSKA
BROD,BOHINJ,GORENJSKA
BROD V PODBOČJU,KRŠKO,POSAVSKA
BRODE,VRANSKO,SAVINJSKA
BRODE,ŠKOFJA LOKA,GORENJSKA
BRODNICE,LAŠKO,SAVINJSKA
BRSNIK,KOSTEL,JUGOVZHODNA SLOVENIJA
BRSTNIK,LAŠKO,SAVINJSKA
BRSTOVEC,SEMIČ,JUGOVZHODNA SLOVENIJA
BRSTOVNICA,LAŠKO,SAVINJSKA
BRUHANJA VAS,DOBREPOLJE,OSREDNJESLOVENSKA
BRUNA VAS,MOKRONOG - TREBELNO,JUGOVZHODNA SLOVENIJA
BRUNK,RADEČE,POSAVSKA
BRUNŠKA GORA,RADEČE,POSAVSKA
BRUNŠVIK,STARŠE,PODRAVSKA
BRVACE,GROSUPLJE,OSREDNJESLOVENSKA
BRVI,BREŽICE,POSAVSKA
BRŠLENOVICA,LUKOVICA,OSREDNJESLOVENSKA
BUDANJE,AJDOVŠČINA,GORIŠKA
BUDGANJA VAS,ŽUŽEMBERK,JUGOVZHODNA SLOVENIJA
BUDIHNI,NOVA GORICA,GORIŠKA
BUDINCI,ŠALOVCI,POMURSKA
BUDNA VAS,SEVNICA,POSAVSKA
BUJE,PIVKA,PRIMORSKO-NOTRANJSKA
BUKOV VRH,GORENJA VAS - POLJANE,GORENJSKA
BUKOV VRH NAD VISOKIM,ŠKOFJA LOKA,GORENJSKA
BUKOVA GORA,KOČEVJE,JUGOVZHODNA SLOVENIJA
BUKOVCA,LAŠKO,SAVINJSKA
BUKOVCI,MARKOVCI,PODRAVSKA
BUKOVEC,SLOVENSKA BISTRICA,PODRAVSKA
BUKOVEC,VELIKE LAŠČE,OSREDNJESLOVENSKA
BUKOVEC PRI POLJANAH,RIBNICA,JUGOVZHODNA SLOVENIJA
BUKOVICA,IVANČNA GORICA,OSREDNJESLOVENSKA
BUKOVICA,RENČE - VOGRSKO,GORIŠKA
BUKOVICA,RIBNICA,JUGOVZHODNA SLOVENIJA
BUKOVICA,ŠKOFJA LOKA,GORENJSKA
BUKOVICA PRI LITIJI,ŠMARTNO PRI LITIJI,OSREDNJESLOVENSKA
BUKOVICA PRI VODICAH,VODICE,OSREDNJESLOVENSKA
BUKOVJE,BREŽICE,POSAVSKA
BUKOVJE,DRAVOGRAD,KOROŠKA
BUKOVJE,POSTOJNA,PRIMORSKO-NOTRANJSKA
BUKOVJE PRI SLIVNICI,ŠENTJUR,SAVINJSKA
BUKOVJE V BABNI GORI,ŠMARJE PRI JELŠAH,SAVINJSKA
BUKOVLJE,ZREČE,SAVINJSKA
BUKOVNICA,MORAVSKE TOPLICE,POMURSKA
BUKOVO,CERKNO,GORIŠKA
BUKOVSKA VAS,DRAVOGRAD,KOROŠKA
